(-2.886751345948129,1.6666666666666665)
(2.886751345948129,-1.6666666666666665)
(-5.773502691896258,3.333333333333333)
(5.773502691896258,-3.333333333333333)
(-8.660254037844387,4.999999999999999)
(8.660254037844387,-4.999999999999999)
(-11.547005383792516,6.666666666666666)
(11.547005383792516,-6.666666666666666)
(-14.433756729740645,8.333333333333332)
(14.433756729740645,-8.333333333333332)
(-17.320508075688775,9.999999999999998)
(17.320508075688775,-9.999999999999998)
(-20.207259421636902,11.666666666666664)
(20.207259421636902,-11.666666666666664)
(-23.09401076758503,13.33333333333333)
(23.09401076758503,-13.33333333333333)
(-25.980762113533157,14.999999999999996)
(25.980762113533157,-14.999999999999996)
(-28.867513459481287,16.66666666666666)
(28.867513459481287,-16.66666666666666)
(-31.75426480542942,18.33333333333333)
(31.75426480542942,-18.33333333333333)
(-34.64101615137755,19.999999999999996)
(34.64101615137755,-19.999999999999996)
(-37.52776749732568,21.666666666666664)
(37.52776749732568,-21.666666666666664)
(-40.41451884327381,23.333333333333332)
(40.41451884327381,-23.333333333333332)
(-43.30127018922194,25.0)
(43.30127018922194,-25.0)
(-46.18802153517007,26.666666666666668)
(46.18802153517007,-26.666666666666668)
(-49.07477288111821,28.333333333333336)
(49.07477288111821,-28.333333333333336)
(-51.961524227066334,30.000000000000004)
(51.961524227066334,-30.000000000000004)
(-54.84827557301447,31.66666666666667)
(54.84827557301447,-31.66666666666667)
(-57.735026918962596,33.333333333333336)
(57.735026918962596,-33.333333333333336)
(-60.62177826491072,35.0)
(60.62177826491072,-35.0)
(-63.508529610858844,36.666666666666664)
(63.508529610858844,-36.666666666666664)
(-66.39528095680697,38.33333333333333)
(66.39528095680697,-38.33333333333333)
(-69.2820323027551,39.99999999999999)
(69.2820323027551,-39.99999999999999)
(-72.16878364870323,41.66666666666666)
(72.16878364870323,-41.66666666666666)
(-75.05553499465135,43.33333333333332)
(75.05553499465135,-43.33333333333332)
(-77.94228634059947,44.999999999999986)
(77.94228634059947,-44.999999999999986)
(-80.8290376865476,46.66666666666665)
(80.8290376865476,-46.66666666666665)
(-83.71578903249572,48.333333333333314)
(83.71578903249572,-48.333333333333314)
(-86.60254037844385,49.99999999999998)
(86.60254037844385,-49.99999999999998)
(-89.48929172439198,51.66666666666664)
(89.48929172439198,-51.66666666666664)
